French,Portuguese,English
à bientôt,até logo,see you soon
à demain,até amanhã,see you tomorrow
ça va ?,como vai ?,how are you?
comment vas-tu ?,como estás?,how are you?
comment allez-vous ?,como está?,how are you? (formal)
"bien, merci","bem, obrigado(a)","well, thank you"
s'il vous plaît,se faz favor,please
merci,obrigado(a),thank you
je vous en prie,não tem de quê,you're welcome
de rien,de nada,it's nothing
je voudrais...,queria...,I would like...
comment puis-je m'y rendre ?,como faço para ir,how do I get there?
à droite,à direita,to the right
à gauche,à esquerda,to the left
tout droit,em frente,straight ahead
prenez la 1ère rue à droite,apanhe a primeira rua à direita,take the first street on the right
perdu,perdi-me,I am lost
nous sommes perdus,perdemo-nos,we are lost
pouvez-vous m'aider ?,pode ajudar-me?,can you help me?
pouvez-vous nous indiquer le chemin ?,pode indicar-me o caminho?,can you show me the way?
